City_ID,City,Lat,Lng,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
122,piacabucu,-10.4056,-36.4344,77.65,78,14,5.64,BR,2023-01-30 16:17:26
123,puerto ayora,-0.7393,-90.3518,77.56,93,93,2.48,EC,2023-01-30 16:17:27
124,benguela,-12.5763,13.4055,77.0,82,91,2.82,AO,2023-01-30 16:17:27
125,thio,-21.6167,166.2167,85.96,70,80,3.91,NC,2023-01-30 16:17:28
126,ancud,-41.8697,-73.8203,57.92,61,8,4.38,CL,2023-01-30 16:17:29
127,padang,-0.9492,100.3543,75.25,91,99,4.47,ID,2023-01-30 16:17:08
128,kaitangata,-46.2817,169.8464,73.72,55,20,12.03,NZ,2023-01-30 16:17:30
129,cabo san lucas,22.8909,-109.9124,74.52,60,75,4.61,MX,2023-01-30 16:17:31
130,broome,42.2506,-75.833,33.01,82,100,6.91,US,2023-01-30 16:17:32
131,skjervoy,70.0311,20.9714,34.05,90,61,15.12,NO,2023-01-30 16:17:33
132,chuy,-33.6971,-53.4616,70.56,88,21,6.15,UY,2023-01-30 16:17:33
133,yellowknife,62.456,-114.3525,-21.44,76,75,6.91,CA,2023-01-30 16:17:34
134,lancaster,40.2504,-76.2499,50.79,77,100,5.75,US,2023-01-30 16:12:37
135,paithan,19.4833,75.3833,67.57,62,1,7.34,IN,2023-01-30 16:17:35
136,wilmington,34.2257,-77.9447,60.94,87,100,5.75,US,2023-01-30 16:17:36
137,kiruna,67.8557,20.2251,-1.28,92,40,4.61,SE,2023-01-30 16:13:46
138,arraial do cabo,-22.9661,-42.0278,76.86,86,98,26.75,BR,2023-01-30 16:17:37
139,chumikan,54.7183,135.315,-16.74,88,34,24.09,RU,2023-01-30 16:17:38
140,bathsheba,13.2167,-59.5167,74.01,78,20,6.91,BB,2023-01-30 16:17:38
141,vao,-22.6667,167.4833,75.43,69,13,3.11,NC,2023-01-30 16:17:39
142,macau,22.2006,113.5461,60.6,77,0,9.22,MO,2023-01-30 16:17:40
143,boguchany,58.3814,97.4531,-15.0,100,90,3.04,RU,2023-01-30 16:17:41
144,road town,18.4167,-64.6167,78.89,71,2,21.32,VG,2023-01-30 16:14:52
145,amnat charoen,15.9167,104.75,53.24,73,69,7.2,TH,2023-01-30 16:17:42
146,casino,-28.8667,153.05,82.56,77,99,6.76,AU,2023-01-30 16:17:43
147,asmar,35.0333,71.3581,36.77,62,21,10.78,AF,2023-01-30 16:17:44
148,avarua,-21.2078,-159.775,80.65,74,100,14.97,CK,2023-01-30 16:17:44
149,shahrud,36.4182,54.9763,35.01,87,100,3.49,IR,2023-01-30 16:17:45
150,port hedland,-20.3167,118.5667,87.85,62,88,10.36,AU,2023-01-30 16:17:46
151,flin flon,54.7682,-101.865,-7.76,64,0,8.05,CA,2023-01-30 16:17:47
152,ilulissat,69.2167,-51.1,12.22,62,75,6.91,GL,2023-01-30 16:17:48
153,ixtapa,20.7,-105.2,76.23,78,0,12.66,MX,2023-01-30 16:17:48
154,jiayuguan,39.8167,98.3,16.81,49,51,1.61,CN,2023-01-30 16:17:49
155,guerrero negro,27.9769,-114.0611,62.2,60,85,12.73,MX,2023-01-30 16:17:49
156,lebu,-37.6167,-73.65,58.41,82,0,22.59,CL,2023-01-30 16:17:50
157,qasigiannguit,68.8193,-51.1922,12.45,90,100,5.73,GL,2023-01-30 16:17:51
158,barrow,71.2906,-156.7887,-9.38,77,0,21.85,US,2023-01-30 16:17:51
159,bumba,2.1833,22.4667,74.64,66,60,3.8,CD,2023-01-30 16:17:52
160,omboue,-1.5746,9.2618,73.02,90,100,10.4,GA,2023-01-30 16:17:53
161,xingyi,24.1877,102.817,39.72,79,7,3.42,CN,2023-01-30 16:17:53
162,gemena,3.25,19.7667,74.26,51,56,3.18,CD,2023-01-30 16:17:54
163,dipalpur,30.6709,73.6529,49.39,93,0,7.11,PK,2023-01-30 16:17:55
